date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:52:46	5892/5892	---M--	200	added ('OK')	image/jpeg	etag:%22a7820a2-1704-5a55609b7d179%22	http://fiisha.com/images/media/2020/05/medium1589163832qbi0a11502.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589163832qbi0a11502.jpg	(from http://fiisha.com/)
05:52:48	112503/112503	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:16%20GMT	http://fiisha.com/product-detail/lowinstock	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/lowinstock.html	(from http://fiisha.com/)
05:52:51	165865/165865	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:18%20GMT	http://fiisha.com/product-detail/2400-20	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/2400-20.html	(from http://fiisha.com/)
05:52:53	10980/10980	---M--	200	added ('OK')	image/jpeg	etag:%22a7820d6-2ae4-5a558863ec262%22	http://fiisha.com/images/media/2020/05/medium1589174511MAzbU11805.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589174511MAzbU11805.jpg	(from http://fiisha.com/)
05:52:56	10565/10565	---M--	200	added ('OK')	image/jpeg	etag:%22a781f99-2945-5a52dee8b628e%22	http://fiisha.com/images/media/2020/05/medium1588991577lsEoe09402.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1588991577lsEoe09402.jpg	(from http://fiisha.com/)
05:52:56	92517/92517	---M--	200	added ('OK')	image/png	etag:%22a782031-16965-5a54ec2121f6b%22	http://fiisha.com/images/media/2020/05/3jDHQ10705.png	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/3jDHQ10705.png	(from http://fiisha.com/)
05:52:58	123155/123155	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:25%20GMT	http://fiisha.com/product-detail/tv	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/tv.html	(from http://fiisha.com/)
05:52:59	140237/140237	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:27%20GMT	http://fiisha.com/product-detail/43-43	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/43-43.html	(from http://fiisha.com/)
05:53:00	705840/705840	---M--	200	added ('OK')	image/png	etag:%22a7201a0-ac530-5a72ea9a8e575%22	http://fiisha.com/images/media/2020/05/5rk2428804.png	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/5rk2428804.png	(from http://fiisha.com/)
05:53:02	133356/133356	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2003:47:29%20GMT	http://fiisha.com/product-detail/65	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/product-detail/65.html	(from http://fiisha.com/)
05:53:03	25766/25766	---M--	200	added ('OK')	image/jpeg	etag:%22a781fa9-64a6-5a52e5b79990e%22	http://fiisha.com/images/media/2020/05/medium1588993405kte6J09103.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1588993405kte6J09103.jpg	(from http://fiisha.com/)
05:53:03	15371/15371	---M--	200	added ('OK')	image/jpeg	etag:%22a781fbb-3c0b-5a52e9a7a5246%22	http://fiisha.com/images/media/2020/05/medium1588994462Ok7kM09303.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1588994462Ok7kM09303.jpg	(from http://fiisha.com/)
05:53:05	8350/8350	---M--	200	added ('OK')	image/jpeg	etag:%22a7820f5-209e-5a5588717e4df%22	http://fiisha.com/images/media/2020/05/medium1589174525LF2WN11605.jpg	C:/Users/EL-MaHaL/Downloads/Fisha/fiisha.com/images/media/2020/05/medium1589174525LF2WN11605.jpg	(from http://fiisha.com/)
